category_id,parameter_category,parameter_id,parameter_name,parameter_synonyms,parameter_description,units
G1,Exposure Metrics,Q88,AUC,"[""area under the curve"", ""exposure"", ""systemic exposure"", ""total exposure""]",Area under the drug concentration time curve. ,(mass*time)/volume
G1,Exposure Metrics,Q74,AUClast,"[""AUCall"", ""AUCtend"", ""AUC_last_obs"", ""AUC_last_meas"", ""AUC0-last"", ""AUC0-tlast""]",Area under the drug concentration time curve to the last measurable concentration.,(mass*time)/volume
G1,Exposure Metrics,Q84,AUC%ext,"[""AUC_extrapolated%""]",Percentage of area under the drug concentration time curve extrapolated beyond the last measurable concentration,%
G1,Exposure Metrics,Q17,AUC∞,"[""AUCinf"", ""AUC0-∞"", ""AUC0-inf"", ""AUC to infinity"", ""AUCtot""]",Area under the drug concentration-time curve extrapolated to infinity.,(mass*time)/volume
G1,Exposure Metrics,Q19,AUCt,"[""AUC0-t"", ""AUCτ"", ""AUC0-τ"", ""interval AUC""]",Area under the drug concentration time curve from time 0 to t.,(mass*time)/volume
G1,Exposure Metrics,Q20,AUMC,"[""first-moment curve"", ""AUC_first_moment"", ""AUMC0-t"", ""AUMC0-inf""]",Area under the first moment of concentration versus time curve.,(mass*time)/volume
G1,Exposure Metrics,Q18,AUCSS,"[""steady-state AUC"", ""AUC at steady state"", ""steady-state AUCt""]",Area under the drug concentration time curve within a dosing curve at steady state.,(mass*time)/volume
G1,Exposure Metrics,Q21,AUC ratio,"[""AUCr"", ""AUC_dr"", ""relative AUC"", ""AUC interaction ratio"", ""parent metabolite AUC ratio""]","The ratio of area under the drug concentration time curve (including drug interactions, bioequivalence, metabolite versus parent).",
G1,Exposure Metrics,Q189,AUC/dose,"[""AUC (dn)"", ""dose-normalised AUC"", ""AUC_per_dose"", ""normalised AUC"", ""AUC/D"", ""AUCt/dose"", ""AUCinf/dose""]",Dose-normalised area under the drug concentration time curve (include AUCt/dose or AUCinf/dose).,(mass*time)/volume
G2,Bioavailabilities,Q40,Fab,"[""f"", ""bioavailability"", ""absolute bioavailability"", ""oral bioavailability"", ""absolute oral bioavailability"", ""fraction absorbed"", ""systemic availability"", ""absorption"", ""fraction reaching bloodstream"", ""systemic bioavailability""]",Absolute Bioavailability - the fraction of the drug reaches the systemic circulation. ,
G2,Bioavailabilities,Q87,Frel,"[""relative bioavailability"", ""relative systemic availability""]",Relative Bioavailability - the relative fraction of the drug which reaches the systemic circulation.,
G2,Bioavailabilities,Q41,FG,"[""gut-wall bioavailability""]",Gut-wall bioavailability - the fraction of an orally administered drug that escapes metabolism in the intestinal wall and reaches the systemic circulation.,
G2,Bioavailabilities,Q42,FH,"[""hepatic bioavailability""]",Hepatic bioavailability -  the fraction of drug that escapes first-pass metabolism in the liver and reaches the systemic circulation.,
G2,Bioavailabilities,Q43,FR,"[""renal bioavailability""]","Renal bioavailability -  the fraction of a drug that reaches the systemic circulation unchanged after being filtered, secreted, and reabsorbed by the kidneys.",
G3,Clearance Metrics,Q22,CL,"[""CLtot"", ""CLt"", ""CLp"", ""clearance"", ""total clearance"", ""clearance rate""]",Total clearance - the proportionality factor relating rate of drug elimination to the drug concentration. ,volume/time 
G3,Clearance Metrics,Q31,CL_ratio,"[""clearance ratio""]",The ratio of clearances (drug interaction parameter).,
G3,Clearance Metrics,Q27,CL/F,"[""CLpo"", ""oral clearance"", ""apparent clearance"", ""apparent oral clearance"", ""CLz"", ""CL/f (oral)""]",Total clearance following oral administration adjusted for bioavailability (F).,
G3,Clearance Metrics,Q23,CLb,"[""blood clearance"", ""total blood clearance""]",Blood clearance - the proportionality factor relating rate of drug elimination to the drug concentration.,volume/time 
G3,Clearance Metrics,Q25,CLH,"[""hepatic clearance"", ""CL(h)"", ""CL,h""]",Hepatic portion of the total clearance.,volume/time 
G3,Clearance Metrics,Q26,CLR,"[""renal clearance"", ""CL(r)"", ""CL,r""]",Renal portion of the total clearance.,volume/time 
G3,Clearance Metrics,Q79,CLNR,"[""nonrenal clearance"", ""CL(nr)"", ""CL,nr""]",Non-renal portion of total clearance (pathways other than renal).,volume/time 
G3,Clearance Metrics,Q24,CLu,"[""unbound clearance"", ""CL_unbound""]",Unbound clearance - the proportionality factor relating rate of drug elimination to the unbounded drug concentration.,volume/time 
G3,Clearance Metrics,Q3,CLint,"[""intrinsic metabolic clearance"", ""enzyme mediated clearance"", ""intrinsic clint""]","The intrinsic ability of enzymes to metabolize a drug, defined as the ratio of the maximum metabolic rate (Vmax) to the Michaelis-Menten constant (Km), independent of blood flow or binding constraints.",volume/(time*mass of protein)
G3,Clearance Metrics,Q44,fe,"[""fraction excreted unchanged"", ""cumulative urinary excretion"", ""excretion"", ""renal excretion"", ""urinary recovery rate"", ""excretion""]","Fraction of the administered dose that is excreted unchanged in urine, bile or feces. ", %
G3,Clearance Metrics,Q91,Ae ,"[""cumulative excretion amount"", ""amount excreted""]","Amount of the administered dose excreted unchanged in urine, bile or feces. ",mass
G3,Clearance Metrics,Q30,Q,"[""Q1"", ""Qp1"", ""intercompartmental clearance"", ""intercompartmental clearance between central and peripheral compartments"", ""distribution clearance"", ""cld"", ""1st intercompartmental clearance""]",Apparent intercompartmental clearance between the central and peripheral compartment.,volume/time 
G3,Clearance Metrics,Q99,Q2,"[""Qp2"", ""intercompartmental clearance between the central and second peripheral compartments"", ""2nd intercompartmental clearance""]",Apparent intercompartment clearance between the central and second peripheral compartment.,volume/time 
G3,Clearance Metrics,Q69,Q/F,"[""Q1/f"", ""Qp1/f"", ""apparent intercompartmental clearance between the central and peripheral compartment""]","Apparent intercompartmental clearance between the central and periperhal compartment, adjusted for bioavailability (F). ",volume/time 
G3,Clearance Metrics,Q80,Q2/F,"[""Qp2/f"", ""bioavailability normalised apparent intercompartmental clearance between the central and second peripheral compartment""]","Apparent intercompartmental clearance between the central and second peripheral compartment, adjusted for bioavailability (F).",volume/time 
G4,Concentrations,Q32,Cmax,"[""Cpeak"", ""peak concentration"", ""maximum concentration"", ""maximum level"", ""peak""]",Highest drug concentration observed following administration of a dose.,mass/volume
